"","Year","ENGINE.SIZE","CYLINDERS","TRANSMISSION","FUEL","FUEL.CONSUMPTION","COEMISSIONS","INFO"
"488",2000,2.7,6,"M5","Z",15,297,"PORSCHE BOXSTER TWO-SEATER"
"489",2000,3.2,6,"AS5","Z",15.9,311,"PORSCHE BOXSTER S TWO-SEATER"
"490",2000,3.2,6,"M6","Z",15,294,"PORSCHE BOXSTER S TWO-SEATER"
"491",2000,2,4,"A4","X",13.4,274,"SAAB 9-3 TURBO MID-SIZE"
"492",2000,2,4,"M5","X",12.9,255,"SAAB 9-3 TURBO MID-SIZE"
"493",2000,2.3,4,"M5","X",13.1,258,"SAAB 9-3 TURBO MID-SIZE"
"494",2000,2.3,4,"A4","X",13.9,276,"SAAB 9-5 TURBO FULL-SIZE"
"495",2000,2.3,4,"M5","X",13.2,260,"SAAB 9-5 TURBO FULL-SIZE"
"496",2000,3,6,"A4","X",14.3,283,"SAAB 9-5 TURBO FULL-SIZE"
"497",2000,2.3,4,"A4","X",13.9,276,"SAAB 9-5 WAGON TURBO STATION WAGON - MID-SIZE"
"498",2000,2.3,4,"M5","X",13.2,260,"SAAB 9-5 WAGON TURBO STATION WAGON - MID-SIZE"
"499",2000,3,6,"A4","X",14.3,283,"SAAB 9-5 WAGON TURBO STATION WAGON - MID-SIZE"
"500",2000,2.2,4,"A4","X",11.9,239,"SATURN LS MID-SIZE"
"501",2000,2.2,4,"M5","X",12.2,235,"SATURN LS MID-SIZE"
"502",2000,3,6,"A4","X",13.3,269,"SATURN LS MID-SIZE"
"503",2000,2.2,4,"A4","X",12.1,244,"SATURN LW WAGON STATION WAGON - MID-SIZE"
"504",2000,3,6,"A4","X",13.3,269,"SATURN LW WAGON STATION WAGON - MID-SIZE"
"505",2000,1.9,4,"A4","X",10.1,200,"SATURN SC SUBCOMPACT"
"506",2000,1.9,4,"M5","X",9.8,191,"SATURN SC SUBCOMPACT"
"507",2000,1.9,4,"A4","X",10.6,207,"SATURN SC # SUBCOMPACT"
"508",2000,1.9,4,"M5","X",10.3,202,"SATURN SC # SUBCOMPACT"
"509",2000,1.9,4,"A4","X",10.1,198,"SATURN SL COMPACT"
"510",2000,1.9,4,"M5","X",9.3,184,"SATURN SL COMPACT"
"511",2000,1.9,4,"A4","X",10.6,207,"SATURN SL # COMPACT"
"512",2000,1.9,4,"M5","X",10.3,202,"SATURN SL # COMPACT"
"513",2000,1.9,4,"A4","X",10.6,207,"SATURN SW WAGON # STATION WAGON - SMALL"
"514",2000,1.9,4,"M5","X",10.3,202,"SATURN SW WAGON # STATION WAGON - SMALL"
"515",2000,2.5,4,"A4","X",12.2,246,"SUBARU FORESTER AWD SUV"
"516",2000,2.5,4,"M5","X",12.5,248,"SUBARU FORESTER AWD SUV"
"517",2000,2.2,4,"A4","X",11.7,239,"SUBARU IMPREZA AWD SUBCOMPACT"
"518",2000,2.2,4,"M5","X",11.8,242,"SUBARU IMPREZA AWD SUBCOMPACT"
"519",2000,2.5,4,"A4","X",11.8,244,"SUBARU IMPREZA AWD SUBCOMPACT"
"520",2000,2.5,4,"M5","X",12.8,258,"SUBARU IMPREZA AWD SUBCOMPACT"
"521",2000,2.2,4,"A4","X",11.7,239,"SUBARU IMPREZA WAGON AWD STATION WAGON - SMALL"
"522",2000,2.2,4,"M5","X",11.8,242,"SUBARU IMPREZA WAGON AWD STATION WAGON - SMALL"
"523",2000,2.5,4,"A4","X",12.2,253,"SUBARU LEGACY AWD COMPACT"
"524",2000,2.5,4,"M5","X",12.5,253,"SUBARU LEGACY AWD COMPACT"
"525",2000,2.5,4,"A4","X",12.2,255,"SUBARU LEGACY WAGON AWD STATION WAGON - MID-SIZE"
"526",2000,2.5,4,"M5","X",12.5,253,"SUBARU LEGACY WAGON AWD STATION WAGON - MID-SIZE"
"527",2000,1.6,4,"A4","X",9.9,205,"SUZUKI ESTEEM SUBCOMPACT"
"528",2000,1.6,4,"M5","X",8.8,182,"SUZUKI ESTEEM SUBCOMPACT"
"529",2000,1.8,4,"A4","X",10.3,209,"SUZUKI ESTEEM WAGON STATION WAGON - SMALL"
"530",2000,1.8,4,"M5","X",9.6,196,"SUZUKI ESTEEM WAGON STATION WAGON - SMALL"
"531",2000,2.5,6,"A4","X",14.2,304,"SUZUKI GRAND VITARA 4X4 SUV"
"532",2000,2.5,6,"M5","X",13.8,294,"SUZUKI GRAND VITARA 4X4 SUV"
"533",2000,1.3,4,"A3","X",9.1,191,"SUZUKI SWIFT SUBCOMPACT"
"534",2000,1.3,4,"M5","X",7.6,156,"SUZUKI SWIFT SUBCOMPACT"
"535",2000,2,4,"A4","X",11.7,251,"SUZUKI VITARA 4X4 SUV"
"536",2000,2,4,"M5","X",11.8,253,"SUZUKI VITARA 4X4 SUV"
"537",2000,1.6,4,"M5","X",10.5,228,"SUZUKI VITARA CONVERTIBLE 4X4 SUV"
"538",2000,2,4,"A4","X",11.7,253,"SUZUKI VITARA CONVERTIBLE 4X4 SUV"
"539",2000,2,4,"M5","X",11.8,255,"SUZUKI VITARA CONVERTIBLE 4X4 SUV"
"540",2000,2.7,4,"A4","X",14.2,301,"TOYOTA 4RUNNER 4X4 SUV"
"541",2000,2.7,4,"M5","X",15.4,320,"TOYOTA 4RUNNER 4X4 SUV"
"542",2000,3.4,6,"A4","X",15.7,334,"TOYOTA 4RUNNER 4X4 SUV"
"543",2000,3.4,6,"M5","X",15.7,331,"TOYOTA 4RUNNER 4X4 SUV"
"544",2000,3,6,"A4","X",12.7,251,"TOYOTA AVALON FULL-SIZE"
"545",2000,2.2,4,"A4","X",11.8,239,"TOYOTA CAMRY MID-SIZE"
"546",2000,2.2,4,"M5","X",11.4,228,"TOYOTA CAMRY MID-SIZE"
"547",2000,3,6,"A4","X",13.4,267,"TOYOTA CAMRY MID-SIZE"
"548",2000,2.2,4,"A4","X",11.8,239,"TOYOTA CAMRY SOLARA COMPACT"
"549",2000,3,6,"A4","X",13.4,267,"TOYOTA CAMRY SOLARA COMPACT"
"550",2000,3,6,"M5","X",12.7,253,"TOYOTA CAMRY SOLARA COMPACT"
"551",2000,3,6,"A4","X",14,278,"TOYOTA CAMRY SOLARA CONVERTIBLE SUBCOMPACT"
"552",2000,1.8,4,"A4","X",10.1,205,"TOYOTA CELICA SUBCOMPACT"
"553",2000,1.8,4,"AS4","Z",11.6,237,"TOYOTA CELICA SUBCOMPACT"
"554",2000,1.8,4,"M5","X",10,209,"TOYOTA CELICA SUBCOMPACT"
"555",2000,1.8,4,"M6","Z",11.6,230,"TOYOTA CELICA SUBCOMPACT"
"556",2000,1.8,4,"A4","X",9.3,189,"TOYOTA COROLLA COMPACT"
"557",2000,1.8,4,"M5","X",8.7,179,"TOYOTA COROLLA COMPACT"
"558",2000,1.5,4,"A4","X",8.6,179,"TOYOTA ECHO COMPACT"
"559",2000,1.5,4,"M5","X",8.2,173,"TOYOTA ECHO COMPACT"
"560",2000,2,4,"A4","X",11.3,235,"TOYOTA RAV4 SUV"
"561",2000,2,4,"M5","X",11.2,232,"TOYOTA RAV4 SUV"
"562",2000,2,4,"A4","X",12.2,258,"TOYOTA RAV4 4X4 SUV"
"563",2000,2,4,"M5","X",12.1,258,"TOYOTA RAV4 4X4 SUV"
"564",2000,2,4,"A4","X",11.3,235,"TOYOTA RAV4 SOFT TOP SUV"
"565",2000,2,4,"M5","X",11.2,232,"TOYOTA RAV4 SOFT TOP SUV"
"566",2000,2,4,"A4","X",11.8,251,"TOYOTA RAV4 SOFT TOP 4X4 SUV"
"567",2000,2,4,"M5","X",11.9,253,"TOYOTA RAV4 SOFT TOP 4X4 SUV"
"568",2000,3,6,"A4","X",14.3,288,"TOYOTA SIENNA MINIVAN"
"569",2000,2.4,4,"A4","X",12.6,267,"TOYOTA TACOMA PICKUP TRUCK - STANDARD"
"570",2000,2.4,4,"M5","X",12.2,253,"TOYOTA TACOMA PICKUP TRUCK - STANDARD"
"571",2000,2.7,4,"A4","X",14,301,"TOYOTA TACOMA PICKUP TRUCK - STANDARD"
"572",2000,3.4,6,"A4","X",15.3,324,"TOYOTA TACOMA PICKUP TRUCK - STANDARD"
"573",2000,2.7,4,"A4","X",14.2,301,"TOYOTA TACOMA 4X4 PICKUP TRUCK - STANDARD"
"574",2000,2.7,4,"M5","X",15.7,329,"TOYOTA TACOMA 4X4 PICKUP TRUCK - STANDARD"
"575",2000,3.4,6,"A4","X",15.2,324,"TOYOTA TACOMA 4X4 PICKUP TRUCK - STANDARD"
"576",2000,3.4,6,"M5","X",15.7,331,"TOYOTA TACOMA 4X4 PICKUP TRUCK - STANDARD"
"577",2000,3.4,6,"A4","X",15.7,331,"TOYOTA TUNDRA PICKUP TRUCK - STANDARD"
"578",2000,3.4,6,"M5","X",16,336,"TOYOTA TUNDRA PICKUP TRUCK - STANDARD"
"579",2000,4.7,8,"A4","X",17.3,363,"TOYOTA TUNDRA PICKUP TRUCK - STANDARD"
"580",2000,3.4,6,"A4","X",17.2,368,"TOYOTA TUNDRA 4X4 PICKUP TRUCK - STANDARD"
"581",2000,3.4,6,"M5","X",17.1,363,"TOYOTA TUNDRA 4X4 PICKUP TRUCK - STANDARD"
"582",2000,4.7,8,"A4","X",18.2,382,"TOYOTA TUNDRA 4X4 PICKUP TRUCK - STANDARD"
"583",2000,2,4,"A4","X",12.6,253,"VOLKSWAGEN CABRIO SUBCOMPACT"
"584",2000,2,4,"M5","X",11.2,230,"VOLKSWAGEN CABRIO SUBCOMPACT"
"585",2000,2.8,6,"A4","X",17.6,357,"VOLKSWAGEN EUROVAN MINIVAN"
"586",2000,2.8,6,"A4","X",18.6,375,"VOLKSWAGEN EUROVAN CAMPER MINIVAN"
"587",2000,1.8,4,"A4","Z",12.1,248,"VOLKSWAGEN GOLF COMPACT"
"588",2000,1.8,4,"M5","Z",11.1,225,"VOLKSWAGEN GOLF COMPACT"
"589",2000,2,4,"A4","X",11.9,244,"VOLKSWAGEN GOLF COMPACT"
"590",2000,2,4,"M5","X",11.2,228,"VOLKSWAGEN GOLF COMPACT"
"591",2000,1.9,4,"A4","D",8.1,192,"VOLKSWAGEN GOLF TDI DIESEL COMPACT"
"592",2000,1.9,4,"M5","D",6.7,165,"VOLKSWAGEN GOLF TDI DIESEL COMPACT"
"593",2000,1.8,4,"M5","Z",11.1,225,"VOLKSWAGEN GTI COMPACT"
"594",2000,2,4,"A4","X",11.9,244,"VOLKSWAGEN GTI COMPACT"
"595",2000,2,4,"M5","X",11.2,228,"VOLKSWAGEN GTI COMPACT"
"596",2000,2.8,6,"M5","X",13.2,260,"VOLKSWAGEN GTI COMPACT"
"597",2000,1.8,4,"A4","Z",12.1,248,"VOLKSWAGEN JETTA COMPACT"
"598",2000,1.8,4,"M5","Z",11.1,225,"VOLKSWAGEN JETTA COMPACT"
"599",2000,2,4,"A4","X",11.9,244,"VOLKSWAGEN JETTA COMPACT"
"600",2000,2,4,"M5","X",11.2,228,"VOLKSWAGEN JETTA COMPACT"
"601",2000,2.8,6,"A4","X",14.2,283,"VOLKSWAGEN JETTA COMPACT"
"602",2000,2.8,6,"M5","X",13.6,267,"VOLKSWAGEN JETTA COMPACT"
"603",2000,1.9,4,"A4","D",8.1,192,"VOLKSWAGEN JETTA TDI DIESEL COMPACT"
"604",2000,1.9,4,"M5","D",6.7,165,"VOLKSWAGEN JETTA TDI DIESEL COMPACT"
"605",2000,1.8,4,"A4","Z",11.9,248,"VOLKSWAGEN NEW BEETLE SUBCOMPACT"
"606",2000,1.8,4,"M5","Z",10.6,223,"VOLKSWAGEN NEW BEETLE SUBCOMPACT"
"607",2000,2,4,"A4","X",11.9,244,"VOLKSWAGEN NEW BEETLE SUBCOMPACT"
"608",2000,2,4,"M5","X",11.2,228,"VOLKSWAGEN NEW BEETLE SUBCOMPACT"
"609",2000,1.9,4,"A4","D",8.1,192,"VOLKSWAGEN NEW BEETLE TDI DIESEL SUBCOMPACT"
